ID,time,text,retweets,favorites
1330036549388554242,Sat Nov 21 06:33:18 +0000 2020,"Sources: The Steven Adams-to-Pelicans trade includes Denver, which traded a 2023 lottery protected first-round pick for the 24th pick (RJ Hampton) on draft night. That pick is headed to the Thunder -- along with two seconds -- for Adams.",893,8960
1330034629387096066,Sat Nov 21 06:25:41 +0000 2020,"The Thunder have agreed in principle to trade Steven Adams to the Pelicans as part of a multi-team trade, sources tell ESPN. OKC is getting back -- wait for it -- future first-round pick and second-round picks.",3439,43981
1330029078955560961,Sat Nov 21 06:03:37 +0000 2020,"OKC is trading James Johnson to the Dallas Mavericks, sources tell ESPN.",977,12588
1330028860042326023,Sat Nov 21 06:02:45 +0000 2020,"New Orleans and Milwaukee are expanding the original Jrue Holiday trade to include more teams and players, including the routing of Steven Adams to the Pelicans, sources tell ESPN. Talks are moving toward a possible four-team trade.",1606,14988
1330016636942868480,Sat Nov 21 05:14:11 +0000 2020,"Free agent G Pat Connaughton has agreed to a two-year, $8.3M deal to return to the Milwaukee Bucks, agents Jeff Schwartz and Jordan Gertler of @excelsm_bball tell ESPN.",748,8760
1329997776227348480,Sat Nov 21 03:59:14 +0000 2020,"Free agent Marcus Morris has agreed to return to the Clippers, source tells ESPN.",1029,13644
1329986312720551945,Sat Nov 21 03:13:41 +0000 2020,"Free agent F Christian Wood has agreed to a three-year, $41M deal with the Houston Rockets, sources tell ESPN.",2507,25682
1329984142835060736,Sat Nov 21 03:05:04 +0000 2020,"Free agent Garrett Temple has agreed to a one-year, $5M deal with Chicago, agent Mark Bartelstein of @PrioritySports tells ESPN.",866,8477
1329983070389362692,Sat Nov 21 03:00:48 +0000 2020,"Free agent guard Joe Harris has agreed to a four-year, $75M deal to return to the Brooklyn Nets, his agent Mark Bartelstein @PrioritySports tells ESPN.",2128,19632
1329981725838086144,Sat Nov 21 02:55:27 +0000 2020,"Free agent Alec Burks has agreed to a one-year, $6M deal with the New York Knicks, agent Alex Saratsis tells @ZachLowe_NBA and me.",996,10800
1329981103214645248,Sat Nov 21 02:52:59 +0000 2020,"Free agent forward Davis Bertans has agreed to a 5-year, $80M deal to return to the Washington Wizards, his agent @ArtursKalnitis tells ESPN. Deal includes an ETO after fourth year. One of biggest deals ever for a European-based agent in NBA.",1865,14793
1329978877989580801,Sat Nov 21 02:44:08 +0000 2020,"Free agent Montrezl Harrell has agreed to a two-year deal with the Los Angeles Lakers, agent Rich Paul of @KlutchSports tells ESPN.",9990,65391
1329969048914960384,Sat Nov 21 02:05:05 +0000 2020,"Free agent PF Anthony Gill has agreed to a two-year deal with the Washington Wizards, agent Sean Kennedy of 
@excelsm_bball tells ESPN. Gill played in Khimki of the EuroLeague last season.",419,3744
1329961356188069888,Sat Nov 21 01:34:31 +0000 2020,"Free agent F Rodney Hood is returning to the Portland Trail Blazers on a two-year, $21M deal, sources tell ESPN.",1218,11669
1329960035837939712,Sat Nov 21 01:29:16 +0000 2020,"Free agent F Danilo Gallinari is finalizing a three-year, $61.5M contract with the Atlanta Hawks, his agent Michael Tellem of CAA Sports tells ESPN.",2935,26919
1329957091759546369,Sat Nov 21 01:17:34 +0000 2020,"Free agent F Josh Jackson is finalizing a deal with the Detroit Pistons, sources tell ESPN.",1062,11299
1329948030569689089,Sat Nov 21 00:41:34 +0000 2020,"Among contenders in both conferences, an aggressive early pursuit to lure free agent Serge Ibaka out of Toronto, sources tell ESPN. Of course, the Raptors have strong interest in keep him too.",686,9773
1329943993577299969,Sat Nov 21 00:25:31 +0000 2020,"Free agent Jordan Clarkson has agreed to a four-year, $52M deal with the Utah Jazz, his agent Rich Paul of Klutch Sports tells ESPN.",2101,22722
1329940403571859457,Sat Nov 21 00:11:15 +0000 2020,"Free agent F Patrick Patterson is returning to the Los Angeles Clippers on a one-year deal, his agent Sam Goldfeder of @excelsm_bball tells ESPN.",467,5086
1329938585043267584,Sat Nov 21 00:04:02 +0000 2020,"Free agent center Jahlil Okafor has agreed to a two-year deal with the Detroit Pistons, sources tell ESPN.",1560,19280
1329933651757457408,Fri Nov 20 23:44:26 +0000 2020,"Free agent center Mason Plumlee has agreed to a three-year, $25M deal with the Detroit Pistons, his agent Mark Bartelstein of @PrioritySports tells ESPN.",1293,12080
1329932030168211458,Fri Nov 20 23:37:59 +0000 2020,"This isn't an easy free agent market for centers, but here's a former All-Star getting some early attention tonight, per sources: DeMarcus Cousins.",1728,27954
1329929927181934596,Fri Nov 20 23:29:38 +0000 2020,"Forward/Center Drew Eubanks has agreed to a new three-year contract to stay with the San Antonio Spurs, his agent @JamesDunleavy3 of @excelsm_bball tells ESPN.",556,5209
1329927890222280706,Fri Nov 20 23:21:32 +0000 2020,"Real Madrid guard Facundo Campazzo has agreed to a two-year deal with the Denver Nuggets, his agent Alex Saratsis tells ESPN.",2543,20716
1329926543410302976,Fri Nov 20 23:16:11 +0000 2020,"The Meyers Leonard two-year deal with Miami is worth nearly $20M, @caa_sports agents Aaron Mintz and Dave Spahn tell ESPN.",798,8845
1329922421047037957,Fri Nov 20 22:59:48 +0000 2020,"Opening up NBA free agency on @sportscenter now, including the latest on Gordon Hayward.",634,11605
1329888113519259650,Fri Nov 20 20:43:29 +0000 2020,"Portland is acquiring Boston's Enes Kanter in a three-way deal with Memphis, sources tell ESPN. Memphis gets Mario Hezonjia and 30th pick (Desmond Bane) from draft night deal as part of trade too. Celtics get a future Memphis draft consideration.",2544,22073
1329606925940633601,Fri Nov 20 02:06:08 +0000 2020,"The Golden State Warriors are finalizing a trade to acquire Oklahoma City Thunder forward Kelly Oubre, Jr., for a 2021 protected first-round pick, sources tell ESPN.",3122,35427
1329567624766894080,Thu Nov 19 23:29:58 +0000 2020,"The Detroit Pistons aren't extending a qualifying offer to Thon Maker and he'll become an unrestricted free agent, source tells ESPN.",556,8486
1329556734977970179,Thu Nov 19 22:46:42 +0000 2020,"The Utah Jazz are trading Ed Davis and two 2023 second-round picks to the New York Knicks, sources tell @WindhorstESPN and me.",779,7699
1329544608922144772,Thu Nov 19 21:58:31 +0000 2020,"Golden State is nearing a deal with Oklahoma City to acquire Kelly Oubre Jr., sources tells ESPN.",4206,51371
1329536427051397123,Thu Nov 19 21:26:00 +0000 2020,"The Phoenix Suns are declining the $5.2M team option on Frank Kaminsky, making him an unrestricted free agent, source tells ESPN.",553,7345
1329532303811506183,Thu Nov 19 21:09:37 +0000 2020,"Boston has declined a qualifying offer to guard Brad Wanamaker, making him an unrestricted free agent, source tells ESPN.",681,9061
1329518171389382662,Thu Nov 19 20:13:27 +0000 2020,"Detroit is trading Khyri Thomas and Tony Snell to Atlanta for Dewayne Dedmon, sources tell ESPN.",935,9330
1329512593208324097,Thu Nov 19 19:51:18 +0000 2020,"The Brooklyn Nets are declining Garrett Temple's option for the 2020-2021 season, source tells ESPN. He will become a free agent.",488,6485
1329492642896470016,Thu Nov 19 18:32:01 +0000 2020,Source: Golden State’s Klay Thompson has suffered a season-ending Achilles tear.,17661,120579
1329477504978051074,Thu Nov 19 17:31:52 +0000 2020,"Undrafted William &amp; Mary center Nathan Knight is signing a two-way deal with the Atlanta Hawks, source tells ESPN.",384,3808
1329476948914003977,Thu Nov 19 17:29:39 +0000 2020,"Forward Mike Muscala has exercised his player option to return to Oklahoma City this season, source tells ESPN.",278,5103
1329464147256496128,Thu Nov 19 16:38:47 +0000 2020,"Miami's Kelly Olynyk has exercised his $13.6M player option for the 2020-21 season, source tells ESPN",628,11437
1329312312717619200,Thu Nov 19 06:35:27 +0000 2020,"The WCC’s Defensive Player of the Year — guard Jahlil Tripp of Pacific — is signing an Exhibit 10 deal with the Memphis Grizzlies, his agent Daniel Green tells ESPN.",245,3020
1329303903087816704,Thu Nov 19 06:02:02 +0000 2020,"UAB guard Nate Darling is signing a two-way deal with Charlotte, his agents Mike George and Nate Daniels of @OneLegacySports tell ESPN.",340,2840
1329299441216606208,Thu Nov 19 05:44:18 +0000 2020,"French F Killian Tillie of Gonzaga is signing a two-way deal with the Memphis Grizzlies, his agent Andy Shiffman of @PrioritySports tells ESPN.",556,5645
1329296420382388227,Thu Nov 19 05:32:18 +0000 2020,"Undrafted Kansas guard Devon Dotson is signing with the Chicago Bulls, source tells ESPN. Dotson is a Chicago native who grew up idolizing Derrick Rose.",1741,20698
1329282348530208768,Thu Nov 19 04:36:23 +0000 2020,"Portland is targeting CJ Elleby at No. 46, per source.",234,2410
1329282199175241728,Thu Nov 19 04:35:47 +0000 2020,"The Bucks are targeting Jordan Nwora at 45, per source.",182,1986
1329281721796276229,Thu Nov 19 04:33:53 +0000 2020,"The Bulls are targeting Marko Simonovic at No. 44, source tells ESPN.",215,3346
1329280872634331138,Thu Nov 19 04:30:31 +0000 2020,"The Kings are targeting Jahmi'us Ramsey, per source.",183,2089
1329280491707641859,Thu Nov 19 04:29:00 +0000 2020,"Pelicans are targeting Nick Richards at No. 42, per source.",146,1575
1329280153688608773,Thu Nov 19 04:27:40 +0000 2020,"Spurs are targeting Tre Jones at No. 41, per source.",356,5348
1329275500565557251,Thu Nov 19 04:09:10 +0000 2020,"Dallas is acquiring Philadelphia's Josh Richardson and No. 36 pick for Seth Curry, source tells ESPN.",2762,27397
1329274860485423105,Thu Nov 19 04:06:38 +0000 2020,"The Knicks are targeting Daniel Oturu at No. 33, source tells ESPN.",279,2973
1329274109004558337,Thu Nov 19 04:03:38 +0000 2020,"Charlotte is targeting Duke's Vernon Carey Jr. at No. 32, per source.",292,3903
1329271617973837824,Thu Nov 19 03:53:45 +0000 2020,"Grizzlies are targeting Desmond Bane here, per source.",341,4617
1329271078997340160,Thu Nov 19 03:51:36 +0000 2020,"Boston is moving the 30th pick, per source.",350,5107
1329270657205604354,Thu Nov 19 03:49:55 +0000 2020,"Toronto is targeting Malachi Flynn at No. 29, source tells ESPN.",372,3675
1329268581696155653,Thu Nov 19 03:41:41 +0000 2020,"The Timberwolves are targeting Jaden McDaniels at No. 28, source tells ESPN.",301,3959
1329267542716805123,Thu Nov 19 03:37:33 +0000 2020,"The Utah Jazz have agreed to trade C Tony Bradley and the 38th pick to the Detroit Pistons for future considerations, sources tell ESPN.",603,3956
1329267194602139650,Thu Nov 19 03:36:10 +0000 2020,"Utah is targeting Udoka Azubuike at No. 27, source tells ESPN&gt;",274,3117
1329266407662645248,Thu Nov 19 03:33:02 +0000 2020,"Boston is targeting Payton Pritchard at 26, source tells ESPN.",417,5209
1329264380882677770,Thu Nov 19 03:24:59 +0000 2020,"New Orleans is selecting RJ Hampton for the Nuggets, source tells ESPN.",629,8241
1329263647324057601,Thu Nov 19 03:22:04 +0000 2020,"Bolmaro is going to Minnesota in a trade, per source.",594,6382
1329262948813070340,Thu Nov 19 03:19:18 +0000 2020,"The Knicks are targeting Leandro Bolmaro at No. 23, source tells ESPN. New York selected Obi Toppin at No. 8.",432,4963
1329261322777866240,Thu Nov 19 03:12:50 +0000 2020,"Denver is targeting Zeke Nnaji at No. 22, source tells ESPN.",262,3476
